Genome	Mean	Std	Min	Max	Median	Nr_ORF	Upstream	Downstream	Upstream-Downstream	Min_Distance	pPolB	pPolB_distance	Polymerase	Pol_distance
QFOD01000001	101.44067796610169	125.47675470947485	-101.0	314.0	93.0	59	15	44	-29	1.0	N		-	
NZ_SBLB01000001	514.6405693950178	497.21363366266587	-286.0	1402.0	534.0	281	58	223	-165	3.0	N		-	
MAXR01000078	-5.571428571428571	4.776643856371567	-12.0	1.0	-5.0	7	6	1	5	1.0	N		-	
MG592490	4.970588235294118	17.13009957410304	-20.0	36.0	3.0	34	16	18	-2	1.0	N		-	
MK892772	-2.0	14.954833961750609	-26.0	27.0	-5.0	17	10	7	3	1.0	N		-	
NC_070861	-6.595238095238095	19.950008382632827	-45.0	27.0	-5.5	42	25	17	8	1.0	N		-	
NZ_NPKF01000001	-3289.3280282935457	2133.3526847531157	-7014.0	586.0	-3256.0	1131	1062	69	993	6.0	N		-	
DOWI01000115	14.5	14.793579688500008	-10.0	37.0	14.5	30	6	24	-18	2.0	N		-	
NC_049415	7.035714285714286	12.647648406090424	-11.0	36.0	4.5	28	10	18	-8	1.0	N		-	
PBIO01000022	7.0	15.855598380382874	-15.0	34.0	4.5	20	9	11	-2	1.0	N		-	
BK018285	2.8181818181818183	6.117310487731172	-6.0	11.0	5.0	11	4	7	-3	1.0	N		-	
NZ_VJON01000041	4.230769230769231	9.720350153188502	-12.0	22.0	4.0	13	5	8	-3	1.0	N		-	
MK071979	92.5625	83.14367741295787	-11.0	286.0	68.5	32	3	29	-26	2.0	N		-	
JAQWED010000281	-2.0	2.160246899469287	-4.0	1.0	-3.0	3	2	1	1	1.0	N		-	
NC_020850	9.4	13.896282476499485	-15.0	38.0	10.5	30	7	23	-16	1.0	N		-	
NC_000964	-48.14303329223181	1209.8367813447487	-2151.0	2078.0	-28.0	811	414	397	17	1.0	N		-	
MK892736	-12.714285714285714	16.372575377435158	-51.0	7.0	-7.5	14	12	2	10	1.0	N		-	
NC_055061	13.6	8.2365041127896	1.0	25.0	13.5	10	0	10	-10	1.0	N		-	
NZDE01000012	77.67567567567568	139.0282985104314	-145.0	321.0	49.5	74	24	50	-26	4.0	N		-	
JAOGBL010000005	14.0	8.215838362577491	-1.0	25.0	14.5	12	1	11	-10	1.0	N		-	
NZ_AVCY01000001	-10.540322580645162	202.10881767142445	-354.0	313.0	-6.5	124	64	60	4	2.0	N		-	
BK055734	-19.48148148148148	19.724717282619967	-50.0	24.0	-18.0	27	22	5	17	1.0	N		-	
PAMM01000035	-2.5454545454545454	3.846217418419305	-8.0	5.0	-3.0	11	8	3	5	1.0	N		-	
NZ_PVRV01000023	145.4793388429752	136.0654982758321	-40.0	448.0	110.0	121	15	106	-91	1.0	N		-	
PAYU01000046	-82.36	66.61944460891279	-203.0	5.0	-71.0	100	96	4	92	1.0	N		-	
JABARM010000001	17.6875	48.47579131638802	-65.0	94.0	18.5	32	12	20	-8	1.0	N		-	
NZ_LMNE01000043	-2.6666666666666665	1.699673171197595	-5.0	-1.0	-2.0	3	3	0	3	1.0	N		-	
LC629456	102.75460122699387	83.25613461614314	-78.0	236.0	105.0	163	21	142	-121	1.0	N		-	
RGWU01000031	7.611111111111111	6.600832345569836	-3.0	19.0	7.5	18	3	15	-12	1.0	N		-	
MGYJ01000098	8.0	13.616598867040269	-22.0	28.0	7.0	17	4	13	-9	1.0	N		-	
PAAR01000007	9.0	18.497104020436744	-21.0	41.0	8.0	14	5	9	-4	1.0	N		phrog_192	-13.0
QMOB01000019	-3.142857142857143	5.841442371503106	-12.0	5.0	-4.0	7	4	3	1	1.0	N		-	
NC_041885	-8.090909090909092	10.094593921811862	-25.0	10.0	-6.5	22	17	5	12	1.0	N		phrog_9556	-22.0
BK034132	-3.8	16.216041440499588	-29.0	17.0	-6.0	5	3	2	1	6.0	N		-	
NZ_SNVX01000001	231.66091954022988	249.81019224779158	-154.0	682.0	177.0	174	31	143	-112	1.0	N		-	
MK500415	2.0	4.0	-2.0	6.0	2.0	2	1	1	0	2.0	N		-	
JABIPJ010000061	-0.7333333333333333	6.627887211539503	-10.0	12.0	-2.0	15	9	6	3	1.0	N		-	
NZ_MMAH01000007	-115.8082191780822	146.95667589456207	-385.0	135.0	-118.0	73	53	20	33	3.0	N		-	
WQTZ01000078	0.0	1.0	-1.0	1.0	0.0	2	1	1	0	1.0	N		-	
BK037364	-4.555555555555555	4.54877544232416	-10.0	4.0	-6.0	9	7	2	5	1.0	N		-	
LR881138	-57.21052631578947	57.86825231539986	-164.0	38.0	-60.0	95	75	20	55	1.0	N		-	
PAAG01000040	21.125	12.393924923122619	3.0	42.0	23.5	8	0	8	-8	3.0	N		-	
NZ_JAFFQY010000063	1.2857142857142858	66.27909449703533	-124.0	88.0	10.5	28	12	16	-4	2.0	N		-	
LR796750	8.76923076923077	13.365592140060158	-17.0	32.0	8.0	13	3	10	-7	1.0	N		-	
NZGU01000021	-0.6666666666666666	7.84573486395988	-11.0	8.0	1.0	3	1	2	-1	1.0	N		-	
NZMJ01000107	-3.3333333333333335	1.247219128924647	-5.0	-2.0	-3.0	3	3	0	3	2.0	N		-	
NZ_CP013011	-291.732	614.574308099517	-1348.0	701.0	-267.0	250	153	97	56	12.0	N		-	
NZ_QAJI01000003	-150.83333333333334	185.91640519927827	-480.0	154.0	-178.0	96	71	25	46	1.0	N		-	
LR796715	-4.7368421052631575	17.579420100797762	-32.0	24.0	-6.0	19	12	7	5	2.0	N		-	
NC_042087	4.125	20.419583125029757	-28.0	61.0	2.5	40	18	22	-4	1.0	N		-	
NC_055063	3.75	6.299801584177076	-3.0	13.0	2.5	4	2	2	0	1.0	N		-	
JAOJJN010000001	61.48863636363637	62.01172805463749	-35.0	153.0	63.5	88	22	66	-44	1.0	N		-	
BK046576	-4.8	3.789459064299283	-11.0	2.0	-4.5	10	9	1	8	1.0	N		-	
JAYZKB010000414	0.6666666666666666	1.247219128924647	-1.0	2.0	1.0	3	1	2	-1	1.0	N		-	
CM000130	847.6746987951807	650.9729901756003	-99.0	2154.0	718.0	83	5	78	-73	7.0	N		-	
AMFJ01005424	1.0	0.0	1.0	1.0	1.0	1	0	1	-1	1.0	Y	1.0	phrog_1907	1.0
AP019525	-131.67164179104478	86.7140416351787	-295.0	7.0	-123.0	67	63	4	59	1.0	N		-	
NZ_RJJW01000007	-80.32142857142857	52.45545972634346	-161.0	8.0	-86.5	28	25	3	22	3.0	N		-	
AP014200	8.625	6.537153432496441	1.0	18.0	6.5	8	0	8	-8	1.0	N		-	
NC_075453	7.5	8.5	-1.0	16.0	7.5	2	1	1	0	1.0	N		-	
BK019891	4.125	4.2260353760942415	-4.0	10.0	4.5	8	1	7	-6	1.0	N		-	
JADBYP010000112	3.5	2.0615528128088303	1.0	6.0	3.5	4	0	4	-4	1.0	N		-	
DAOROP010000326	1.0	0.0	1.0	1.0	1.0	1	0	1	-1	1.0	N		-	
NZ_JAVSPC010000041	4.142857142857143	5.2895738804496055	-4.0	13.0	4.5	14	4	10	-6	1.0	N		-	
NZ_SCIN01000004	-17.103448275862068	63.67365331155759	-155.0	102.0	-4.5	58	33	25	8	1.0	N		-	
BK059092	24.8	13.533661736573736	-7.0	41.0	28.5	10	1	9	-8	7.0	N		-	
LR797213	-3.0344827586206895	21.92382227972921	-42.0	38.0	-4.0	29	16	13	3	1.0	N		-	
NZ_AP018907	1195.368888888889	1558.7517613624748	-1317.0	3523.0	1708.0	675	255	420	-165	1.0	N		-	
NC_005260	-4.043795620437956	107.90918516293029	-200.0	151.0	21.0	137	53	84	-31	1.0	N		-	
BK045666	-6.545454545454546	4.539996723339553	-14.0	1.0	-6.0	11	10	1	9	1.0	N		-	
NZ_AP026830	8.840490797546012	738.4164861865909	-1280.0	1291.0	83.5	326	156	170	-14	2.0	N		-	
NZ_VWTY01000003	-85.68604651162791	113.86643150597465	-274.0	58.0	-45.5	86	52	34	18	1.0	N		-	
DUOF01000046	2.0	0.0	2.0	2.0	2.0	1	0	1	-1	2.0	N		-	
JAWSTK010000114	2.0	0.816496580927726	1.0	3.0	2.0	3	0	3	-3	1.0	N		-	
WLEH01000100	-3.5	0.5	-4.0	-3.0	-3.5	2	2	0	2	3.0	N		-	
JAGLQU010000910	-2.0	0.816496580927726	-3.0	-1.0	-2.0	3	3	0	3	1.0	N		-	
LR797122	1.4	14.547852075134665	-18.0	28.0	-4.5	20	11	9	2	4.0	N		-	
MH669274	-27.53846153846154	20.562408012539816	-74.0	6.0	-25.0	39	35	4	31	1.0	N		-	
DATCCB010000061	7.285714285714286	3.3685217493004562	1.0	12.0	8.0	7	0	7	-7	1.0	N		-	
NZ_JACJTJ010000040	-26.5	41.61515863926784	-98.0	61.0	-27.5	28	20	8	12	1.0	N		-	
BK047563	5.166666666666667	4.65176191231762	-3.0	12.0	5.5	12	2	10	-8	1.0	N		-	
NC_007091	738.5744680851063	522.8821007292322	-123.0	1811.0	730.5	94	5	89	-84	5.0	N		-	
PP272799	1.0	0.0	1.0	1.0	1.0	1	0	1	-1	1.0	Y	1.0	phrog_1907	1.0
MZ440852	-149.06451612903226	128.76846826111685	-350.0	86.0	-141.0	62	49	13	36	2.0	N		-	
JAAYKG010000060	8.0	15.003703246569199	-18.0	26.0	12.0	9	2	7	-5	4.0	N		-	
QWQU01000012	-3.125	9.006074339022524	-19.0	8.0	-1.5	8	4	4	0	1.0	N		-	
JAYNMV010000157	0.0	1.5811388300841898	-2.0	2.0	0.0	4	2	2	0	1.0	N		-	
NC_055871	18.096774193548388	27.41715361183246	-29.0	69.0	20.0	31	10	21	-11	2.0	N		-	
NZ_SBLB01000003	-30.095744680851062	178.2146726741666	-337.0	273.0	-8.5	94	48	46	2	2.0	N		-	
NYTQ01000159	-8.72	13.10425884970226	-31.0	14.0	-10.0	25	17	8	9	1.0	N		-	
CP036201	-361.90291262135923	1018.689734433434	-2075.0	1394.0	-365.0	515	315	200	115	1.0	N		-	
BK018993	-11.3125	10.504277402563206	-26.0	5.0	-11.5	16	12	4	8	1.0	N		-	
LR797414	8.782608695652174	15.57298810158469	-19.0	32.0	11.0	23	8	15	-7	1.0	N		-	
NC_049509	95.23157894736842	59.24657709527973	-1.0	210.0	99.0	95	1	94	-93	1.0	N		-	
BK052355	44.719298245614034	34.1712685232784	-4.0	118.0	36.0	57	3	54	-51	1.0	N		-	
NZ_CP147717	-1492.566596194503	2731.7876288925613	-5902.0	3319.0	-1627.5	1892	1113	779	334	1.0	N		-	
SHNJ01000035	1.6666666666666667	10.96458946893235	-24.0	14.0	6.0	9	3	6	-3	1.0	N		-	
MK994522	-19.375	18.79009601713981	-47.0	11.0	-18.5	24	19	5	14	2.0	N		-	
LR796529	7.689655172413793	16.29068582683615	-14.0	41.0	5.0	29	11	18	-7	1.0	N		-	
NZ_JAKDOV010000278	-1.5	0.5	-2.0	-1.0	-1.5	2	2	0	2	1.0	N		-	
LR796696	-46.0	42.81855405578955	-131.0	23.0	-40.0	42	36	6	30	1.0	N		-	
NZ_CP130318	-183.80203619909503	1625.8523738579602	-2945.0	2607.0	-89.5	884	452	432	20	1.0	N		-	
OR096706	11.5	12.5	-1.0	24.0	11.5	2	1	1	0	1.0	N		-	
NZ_DNES01000046	-3.0	36.230216276315154	-46.0	77.0	-16.0	35	23	12	11	4.0	N		-	
NZ_CAKLBU010000005	-8.966666666666667	50.8877741265577	-92.0	73.0	-4.5	30	17	13	4	2.0	N		-	
JBIWMT010000003	70.29032258064517	94.34107426484145	-70.0	274.0	48.5	62	26	36	-10	1.0	N		-	
JAFKHM010000024	-4.75	8.584142356694699	-16.0	8.0	-5.5	4	3	1	2	4.0	N		-	
NC_044500	396.3380281690141	534.9210799672181	-762.0	1215.0	486.0	71	21	50	-29	3.0	N		-	
NZ_CP048795	117.6169014084507	613.3712519119957	-848.0	1179.0	76.0	355	163	192	-29	2.0	N		-	
NC_070869	-28.217391304347824	19.924763970538358	-67.0	3.0	-26.5	46	43	3	40	1.0	N		-	
DPKR01000133	2.75	5.7608593109014565	-4.0	11.0	2.0	4	2	2	0	1.0	N		-	
QMNM01000081	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1	1.0	N		-	
DAORHD010000023	1.4	2.727636339397171	-2.0	5.0	1.0	5	2	3	-1	1.0	N		-	
BK066448	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1	1.0	Y	-1.0	phrog_1907	-1.0
KX258422	-5.5	4.5	-10.0	-1.0	-5.5	2	2	0	2	1.0	Y	-1.0	phrog_1907	-1.0
LR796499	-7.533333333333333	18.86395740264722	-36.0	31.0	-6.0	30	20	10	10	1.0	N		-	
JAQUYW010000003	13.833333333333334	8.47381587925744	1.0	24.0	15.0	6	0	6	-6	1.0	N		-	
ATBP01001652	-2.0	0.0	-2.0	-2.0	-2.0	1	1	0	1	2.0	N		-	
NZ_CP026498	-3368.0975836431226	2120.1047895196944	-7206.0	346.0	-3401.0	1076	1019	57	962	4.0	N		-	
JAHAFR010000099	0.0	1.0	-1.0	1.0	0.0	2	1	1	0	1.0	Y	-1.0	phrog_1907	-1.0
NZ_JARWOE010000746	35.888888888888886	26.859488058513556	-2.0	78.0	35.0	9	1	8	-7	2.0	N		-	
NZ_CP073089	-309.49347826086955	971.703142828896	-1962.0	1409.0	-319.0	460	273	187	86	3.0	N		-	
NZ_CAAHFG010000001	-774.685393258427	928.4748136994797	-2378.0	761.0	-812.0	356	251	105	146	5.0	N		-	
JAFPAN010000129	-1.2307692307692308	7.381409560550866	-15.0	8.0	1.0	13	6	7	-1	1.0	N		-	
OP272492	-35.470588235294116	32.60389303182137	-92.0	26.0	-36.5	68	56	12	44	1.0	N		-	
NZGQ01000097	-5.846153846153846	18.28133202454668	-37.0	24.0	-4.5	26	16	10	6	1.0	N		-	
NC_048174	-17.555555555555557	11.605660602683992	-42.0	-1.0	-16.0	27	27	0	27	1.0	N		phrog_9556	-33.0
LR796426	9.8	18.11242667341955	-14.0	42.0	5.5	20	9	11	-2	1.0	N		phrog_17	-6.0
PAAX01000010	83.85714285714286	64.09797984654558	-30.0	170.0	100.5	28	6	22	-16	1.0	N		-	
NZ_JAFNMG010000001	111.2551724137931	173.217852839168	-202.0	438.0	95.0	145	38	107	-69	1.0	N		-	
NZ_CP102850	2215.5057142857145	1612.1530071735672	-907.0	4776.0	2417.0	700	132	568	-436	2.0	N		-	
RXIG01000021	-6.0	10.928337999374444	-19.0	14.0	-11.0	7	5	2	3	4.0	N		-	
NZ_QOWJ01000001	212.35897435897436	256.37250747769554	-206.0	685.0	213.0	117	31	86	-55	4.0	N		-	
NZ_AFSG01000016	-21.92	37.26437440773694	-74.0	42.0	-35.0	25	16	9	7	5.0	N		-	
NZ_LAJX01000007	9.333333333333334	22.564475521393256	-33.0	39.0	17.0	30	11	19	-8	1.0	N		-	
NZ_JAAKGO010000015	-25.444444444444443	22.699866753293595	-55.0	17.0	-32.0	27	21	6	15	1.0	N		-	
NZ_CABITV010000002	-304.2	165.0363965127482	-517.0	9.0	-360.0	115	112	3	109	1.0	N		-	
MF498773	38.96551724137931	87.48867227508141	-149.0	232.0	37.0	145	42	103	-61	1.0	N		-	
NC_070774	20.372093023255815	22.22299590023911	-12.0	57.0	18.0	43	11	32	-21	1.0	N		-	
MK072035	1.0	0.0	1.0	1.0	1.0	1	0	1	-1	1.0	N		-	
PDLO01000001	-377.4366197183099	304.86497738120744	-897.0	152.0	-352.5	142	122	20	102	10.0	N		-	
NC_022521	531.3543689320388	448.6447073707503	-257.0	1341.0	506.0	206	30	176	-146	1.0	N		-	
NC_075448	8.5	9.5	-1.0	18.0	8.5	2	1	1	0	1.0	N		-	
LR796964	-22.125	17.039934712316242	-50.0	7.0	-22.5	16	14	2	12	1.0	N		-	
RGWU01000230	0.0	1.0	-1.0	1.0	0.0	2	1	1	0	1.0	N		-	
NC_030923	21.137931034482758	16.04889971076766	-3.0	45.0	22.0	29	3	26	-23	1.0	N		phrog_9556	26.0
JAFYIP010000093	-0.375	5.56636101955308	-8.0	8.0	-1.5	8	5	3	2	1.0	N		-	
NZ_DAINNU010000025	-7.2	5.075431016179809	-13.0	1.0	-7.0	5	4	1	3	1.0	N		-	
JABFRG010000396	2.0	0.0	2.0	2.0	2.0	1	0	1	-1	2.0	N		-	
NC_049968	6.45	12.155142944449482	-15.0	27.0	10.5	20	6	14	-8	1.0	N		-	
JAWCMK010000335	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1	1.0	N		-	
NZ_NUDL01000035	-9.666666666666666	8.403702887550358	-25.0	3.0	-9.0	15	13	2	11	1.0	N		-	
NW_003314261	134.94805194805195	409.4765076147994	-701.0	1016.0	92.0	77	30	47	-17	2.0	N		-	
NZ_PEKV01000005	172.88888888888889	222.6859209747054	-210.0	562.0	189.0	126	34	92	-58	2.0	N		-	
BK016136	-75.05555555555556	58.72579617001773	-187.0	24.0	-75.0	54	45	9	36	1.0	N		-	
PCCC01000030	-1.0	3.6514837167011076	-7.0	4.0	-1.0	9	5	4	1	1.0	N		-	
BK051693	-59.516666666666666	107.2057976769706	-245.0	107.0	-77.5	60	39	21	18	2.0	N		-	
AY848684	16.42105263157895	9.560421646029086	1.0	30.0	18.0	19	0	19	-19	1.0	N		-	
NC_022774	13.181818181818182	29.34301274058639	-40.0	65.0	14.5	44	15	29	-14	5.0	N		-	
NC_055720	-11.42741935483871	53.03987747928619	-121.0	90.0	-7.5	124	69	55	14	1.0	N		-	
NZ_JFZT01000068	13.8	12.286578042726134	-2.0	31.0	9.0	5	1	4	-3	2.0	N		-	
BK052025	7.363636363636363	5.278993142166536	-1.0	19.0	7.0	11	1	10	-9	1.0	N		-	
NC_012560	-2231.0580296896087	1299.0339598144897	-4573.0	108.0	-2197.0	741	726	15	711	1.0	N		-	
BK027565	5.916666666666667	4.2711890095798335	-1.0	13.0	5.5	12	1	11	-10	1.0	N		-	
MG592622	-11.666666666666666	18.34545054108935	-50.0	25.0	-9.5	36	25	11	14	1.0	N		-	
NZ_MORL01000008	-119.40625	70.54469300335427	-212.0	1.0	-130.0	32	31	1	30	1.0	N		-	
NZ_FNTV01000001	-738.6925465838509	1107.8970588687546	-2584.0	1209.0	-718.0	644	460	184	276	1.0	N		-	
LR796364	-13.7	12.242412616256104	-34.0	6.0	-14.5	30	24	6	18	1.0	N		-	
JAGBVS010000120	2.857142857142857	2.231499907401901	-1.0	6.0	3.0	7	1	6	-5	1.0	N		-	
JAGCBE010000503	-1.6470588235294117	7.070578447678457	-12.0	12.0	-3.0	17	11	6	5	1.0	N		-	
NZRF01000269	-3.2857142857142856	5.229430062206607	-9.0	6.0	-5.0	7	5	2	3	3.0	N		-	
BK032718	0.0	6.645800679125628	-10.0	12.0	-1.0	12	6	6	0	1.0	N		-	
NZ_CP049156	882.408273381295	981.9045821731877	-855.0	2628.0	889.5	556	141	415	-274	1.0	N		-	
NZ_CP054880	-2311.762711864407	1730.7926606297535	-5349.0	548.0	-2346.0	885	786	99	687	1.0	N		-	
NC_041898	-8.432432432432432	13.029157614263731	-29.0	17.0	-9.0	37	26	11	15	1.0	N		-	
NZ_JAMZAI010000008	65.72727272727273	45.54137161884367	4.0	151.0	65.0	33	0	33	-33	4.0	N		-	
BK037072	4.5	5.481788029466299	-3.0	13.0	4.0	10	3	7	-4	1.0	N		-	
JASEJN010000045	-4.0	7.22841614740048	-19.0	5.0	-2.5	8	6	2	4	1.0	N		-	
QFQL01000019	18.136363636363637	27.757546810888705	-38.0	54.0	26.5	44	10	34	-24	3.0	N		-	
DMHR01001101	1.1666666666666667	2.1147629234082532	-2.0	4.0	1.5	6	2	4	-2	1.0	N		-	
BK038642	-12.307692307692308	5.796346533472155	-21.0	-1.0	-13.0	13	13	0	13	1.0	N		-	
VAZZ01000490	2.0	0.0	2.0	2.0	2.0	1	0	1	-1	2.0	N		-	
NC_055841	-11.931818181818182	71.01261018850894	-157.0	94.0	-2.5	88	46	42	4	1.0	N		-	
NZ_CP029145	2233.114705882353	1316.276623133324	-215.0	4444.0	2242.0	680	35	645	-610	2.0	N		-	
NC_028789	7.466666666666667	5.057887130237509	-1.0	16.0	7.0	15	1	14	-13	1.0	N		-	
QMWC01000219	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1	1.0	N		-	
MK105819	22.705882352941178	16.921148291873426	-10.0	47.0	24.0	34	5	29	-24	1.0	N		-	
NZ_BAABBZ010000049	-3.6666666666666665	4.988876515698588	-9.0	3.0	-5.0	3	2	1	1	3.0	N		-	
RBMR01000006	97.89285714285714	57.31139208975216	-8.0	183.0	109.5	28	1	27	-26	7.0	N		-	
NC_018868	-1106.1108829568789	1106.0957123464923	-2947.0	836.0	-1074.0	487	391	96	295	2.0	N		-	
MN807240	-5.0	9.454697475214429	-19.0	10.0	-5.0	23	15	8	7	1.0	N		-	
KP279746	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1	1.0	Y	-1.0	phrog_1907	-1.0
NZ_FOOW01000005	-59.80555555555556	53.61789680717336	-166.0	10.0	-53.0	36	33	3	30	1.0	N		-	
LR796879	-14.15	14.779292946551942	-40.0	10.0	-17.5	20	16	4	12	1.0	N		-	
BK057890	6.5	7.706676141038829	-12.0	16.0	8.5	14	3	11	-8	1.0	N		-	
JAOLFF010000004	1.4545454545454546	5.3148785389976245	-6.0	10.0	1.0	11	5	6	-1	1.0	N		-	
JAONWZ010000002	4.695652173913044	15.707751569122738	-18.0	35.0	3.0	23	10	13	-3	1.0	N		-	
MN582103	-3.5	27.65863337187866	-41.0	42.0	-4.0	24	15	9	6	1.0	N		-	
BK023926	1.9285714285714286	4.742878657438294	-6.0	9.0	2.5	14	5	9	-4	1.0	N		-	
NC_006883	153.37908496732027	98.34081105073807	-20.0	310.0	150.0	153	15	138	-123	1.0	N		-	
NZ_LWTT01000002	-128.56451612903226	173.27240542807266	-458.0	163.0	-98.0	124	95	29	66	1.0	N		-	
JAGCBE010000335	-7.2	3.994996871087636	-13.0	-1.0	-7.5	10	10	0	10	1.0	N		-	
BK024652	-6.777777777777778	2.9731307022799225	-11.0	-1.0	-7.0	9	9	0	9	1.0	N		-	
JAGLNW010000939	1.0	0.0	1.0	1.0	1.0	1	0	1	-1	1.0	N		-	
NC_019420	-5.0	12.180461254141255	-34.0	12.0	-4.5	22	14	8	6	1.0	N		-	
NZ_CP020100	-904.8587848932676	1070.3557254824548	-2929.0	737.0	-728.0	609	471	138	333	2.0	N		-	
MUCY01000039	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1	1.0	N		-	
LR797056	-16.458333333333332	15.392041143251781	-42.0	10.0	-15.5	24	19	5	14	2.0	N		-	
BK038692	35.625	40.12227405070655	-66.0	91.0	38.5	32	8	24	-16	2.0	N		-	
NZ_VDCQ01000007	-47.59090909090909	49.29194945416275	-127.0	30.0	-28.5	22	18	4	14	4.0	N		-	
BK044069	7.230769230769231	5.846153846153847	-3.0	15.0	9.0	13	2	11	-9	1.0	N		-	
JAFWWV010000134	-2.75	5.47912705942592	-10.0	9.0	-3.5	12	8	4	4	1.0	N		-	
NC_006953	-19.875	14.503771061348148	-43.0	3.0	-19.5	24	21	3	18	1.0	N		-	
NC_025822	-15.2	11.702991070662236	-39.0	2.0	-12.0	25	24	1	23	1.0	N		-	
MT104467	-22.333333333333332	14.2098273008222	-53.0	2.0	-20.0	33	32	1	31	1.0	N		-	
JAESUB010000153	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1	1.0	N		-	
BK033642	-7.9	5.107837115648854	-15.0	1.0	-8.5	10	9	1	8	1.0	N		-	
NC_023706	27.35135135135135	25.820813117826894	-6.0	98.0	22.0	37	5	32	-27	2.0	N		-	
JABHYK010000071	-2.5	1.118033988749895	-4.0	-1.0	-2.5	4	4	0	4	1.0	N		-	
BK046423	-1.1	4.3	-7.0	6.0	-1.5	10	6	4	2	1.0	N		-	
BK016733	3.6363636363636362	8.741465731814996	-12.0	15.0	4.0	11	4	7	-3	2.0	N		-	
AZFC01000030	2.6666666666666665	1.247219128924647	1.0	4.0	3.0	3	0	3	-3	1.0	N		-	
JAGCAI010000547	8.4	4.498888751680798	2.0	14.0	7.0	5	0	5	-5	2.0	N		-	
MK892630	31.2	30.05372966316605	-16.0	73.0	32.0	30	8	22	-14	1.0	N		-	
MT773555	-68.80869565217391	71.48595430933315	-233.0	32.0	-54.0	115	93	22	71	2.0	N		-	
NZ_CP080491	1461.0265210608425	1094.0696961696108	-496.0	3295.0	1521.0	641	82	559	-477	5.0	N		-	
DATHXT010000187	0.6666666666666666	1.247219128924647	-1.0	2.0	1.0	3	1	2	-1	1.0	N		-	
NZ_RBZM01000006	-144.0	115.86075386305014	-356.0	14.0	-117.0	63	59	4	55	1.0	N		-	
RGWU01000236	-3.0	2.3804761428476167	-6.0	1.0	-3.5	6	5	1	4	1.0	N		-	
NZ_BBDM01000004	-4.615384615384615	64.59047138768102	-100.0	87.0	1.0	26	13	13	0	5.0	N		-	
NZ_CAKSZK010000014	12.375	18.18610389830653	-12.0	43.0	10.5	8	2	6	-4	2.0	N		-	
MK072069	31.166666666666668	20.309412158460475	-1.0	52.0	36.5	6	1	5	-4	1.0	N		-	
NZ_BAMX01000014	11.973684210526315	60.27240218685465	-104.0	110.0	18.5	38	16	22	-6	2.0	N		-	
MF497422	15.777777777777779	12.15435704024398	-5.0	38.0	17.0	18	2	16	-14	1.0	N		-	
MK892710	-4.769230769230769	14.905620241804748	-31.0	14.0	0.0	26	13	13	0	2.0	N		phrog_9556	-29.0
NZ_CP042306	1434.1942148760331	1341.1407918028617	-1016.0	3331.0	1731.5	484	137	347	-210	1.0	N		-	
NHMG01000004	-4.212121212121212	18.002958638592805	-32.0	27.0	-6.0	33	20	13	7	1.0	N		-	
NZ_FOLL01000010	64.15789473684211	34.87007940445691	-8.0	111.0	75.0	19	2	17	-15	4.0	N		-	
SCRD01000025	-39.2962962962963	41.067978708130596	-100.0	58.0	-39.0	27	24	3	21	1.0	N		-	
NZ_AUNE01000029	31.5	16.91892431568863	13.0	60.0	27.5	8	0	8	-8	13.0	N		-	
NZ_CACSAS010000001	29.626248216833094	1223.3739716762573	-1956.0	2269.0	-43.0	701	366	335	31	1.0	N		-	
NC_025422	-90.68686868686869	80.44681365702817	-235.0	40.0	-91.0	99	81	18	63	1.0	N		-	
NZ_LHZM01000090	227.71212121212122	142.6686949535282	-4.0	470.0	197.5	66	1	65	-64	4.0	N		-	
NZ_CP171125	899.1396648044692	579.6175993699027	-42.0	1847.0	901.0	358	16	342	-326	1.0	N		-	
FUWX01000008	51.121212121212125	46.066327395863496	-32.0	134.0	49.0	33	6	27	-21	1.0	N		-	
NZ_BALE01000033	14.0	6.06630035524124	6.0	22.0	16.0	5	0	5	-5	6.0	N		-	
LR796359	30.655172413793103	17.390595679093966	-3.0	56.0	34.0	29	2	27	-25	1.0	N		-	
JASMFQ010000219	0.0	1.5811388300841898	-2.0	2.0	0.0	4	2	2	0	1.0	N		-	
OP076325	1.6153846153846154	6.006899386262965	-8.0	10.0	2.0	13	5	8	-3	1.0	N		-	
NZ_FPAW01000015	-39.25	24.97874096106527	-76.0	2.0	-40.5	16	14	2	12	1.0	N		-	
RXJR01000004	121.77922077922078	140.5146961280714	-109.0	394.0	91.0	77	18	59	-41	10.0	N		-	
QNED01000039	-3.0	0.0	-3.0	-3.0	-3.0	1	1	0	1	3.0	N		-	
BK054523	2.9411764705882355	8.249567462709745	-12.0	16.0	3.0	17	7	10	-3	1.0	N		-	
NC_049820	8.0	21.606877212062432	-21.0	52.0	1.5	28	13	15	-2	1.0	N		-	
NZAU01000107	4.428571428571429	2.4411439272335804	1.0	8.0	4.0	7	0	7	-7	1.0	N		-	
