Genome	Mean	Std	Min	Max	Median	Nr_ORF	Upstream	Downstream	Upstream-Downstream
NZ_RYYR01000002	-23.666666666666668	49.4694069321861	-132.0	78.0	-22.5	54	37	17	20
NC_047839	39.78947368421053	27.858815003642963	-7.0	84.0	34.0	38	3	35	-32
NZ_JAERLO010000001	82.71153846153847	235.1801139992709	-274.0	574.0	36.0	104	41	63	-22
NZ_LWTT01000002	-120.71578947368421	176.126190595977	-458.0	163.0	-89.0	95	70	25	45
MW589261	26.488888888888887	44.24056570977577	-32.0	95.0	29.0	45	17	28	-11
DATIBT010000024	13.0	5.354126134736337	7.0	20.0	12.0	3	0	3	-3
NZ_RSBD01000006	-8.2	6.779380502671317	-17.0	3.0	-9.0	10	8	2	6
MT708547	76.6	99.61859766128009	-92.0	328.0	85.5	80	24	56	-32
RGCK01000737	0.0	1.0	-1.0	1.0	0.0	2	1	1	0
NZ_CAKSZK010000014	12.833333333333334	17.121299275723466	-12.0	43.0	10.5	6	1	5	-4
PAOR01000016	-6.8	3.7629775444453557	-13.0	-2.0	-7.0	5	5	0	5
NC_009925	291.1818181818182	1695.724273900682	-2560.0	3077.0	227.0	572	255	317	-62
LR797056	-16.0	15.238110119040353	-42.0	10.0	-15.5	20	16	4	12
NZ_JQCB01000003	-70.41304347826087	62.43381751101009	-174.0	13.0	-49.5	46	40	6	34
JAFTMX010000002	-3.2	7.025667228100119	-14.0	8.0	-3.0	5	4	1	3
NC_021328	-68.09375	68.18649031103962	-153.0	95.0	-81.0	32	25	7	18
LC629463	-88.82051282051282	72.4338325097099	-205.0	32.0	-94.5	78	66	12	54
NZ_JAHSTZ010000037	-17.074074074074073	16.250187294478305	-46.0	7.0	-13.0	27	23	4	19
BK045666	-7.0	5.549774770204643	-14.0	1.0	-7.0	5	4	1	3
JBFLYW010000010	22.8	28.606992152269346	-19.0	64.0	24.0	10	4	6	-2
QGUG01000586	1.0	0.0	1.0	1.0	1.0	1	0	1	-1
LR796401	31.541666666666668	14.997164083771157	5.0	54.0	34.0	24	0	24	-24
MWAU01000060	-4.0	0.0	-4.0	-4.0	-4.0	1	1	0	1
NC_048190	-44.214285714285715	44.1806549533712	-122.0	17.0	-32.5	42	35	7	28
JAAYYI010000101	3.0	0.0	3.0	3.0	3.0	1	0	1	-1
NC_012530	24.382978723404257	37.219620307145235	-76.0	105.0	25.0	47	10	37	-27
BK053472	4.2	3.54400902933387	-1.0	10.0	4.0	5	1	4	-3
JADNYJ010000046	30.0	0.0	30.0	30.0	30.0	1	0	1	-1
NZ_JAUJRI010000006	-95.13157894736842	110.59079885887328	-287.0	51.0	-71.0	38	25	13	12
LR798288	20.25925925925926	59.882039966607806	-90.0	119.0	34.5	54	21	33	-12
ON381767	7.25	5.2141634036535525	-1.0	13.0	8.5	4	1	3	-2
DUWF01000002	-17.0	7.483314773547883	-29.0	-9.0	-15.0	4	4	0	4
VXPR01000265	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1
MW380984	-29.681818181818183	22.079168223044263	-61.0	2.0	-20.0	22	21	1	20
PAPA01000017	21.61904761904762	35.11813558137758	-51.0	84.0	21.0	42	12	30	-18
CM035716	540.8775510204082	850.6026586870224	-886.0	1998.0	466.0	49	15	34	-19
NZ_CP101128	-122.74358974358974	210.8813274184806	-425.0	233.0	-127.5	78	50	28	22
NC_027399	-390.6933333333333	234.8268566885445	-677.0	1.0	-491.0	75	74	1	73
NZ_MXQD01000033	35.5	36.3379966426329	-22.0	97.0	37.5	10	3	7	-4
MT711977	-18.0	20.58378749628716	-45.0	15.0	-17.0	13	10	3	7
MK962753	-3.278481012658228	79.53025643635206	-127.0	141.0	6.0	79	37	42	-5
NZ_BDME01000002	-22.92982456140351	141.60717342930016	-248.0	233.0	-31.0	57	32	25	7
DUHL01000141	-10.0	4.0	-14.0	-6.0	-10.0	2	2	0	2
BK055865	-18.0	11.73314393786536	-28.0	-1.0	-25.0	6	6	0	6
NW_020194005	-730.9310344827586	422.27343903295997	-1401.0	58.0	-753.5	58	56	2	54
NZ_WLYK01000006	51.73809523809524	126.04535455896695	-151.0	256.0	57.0	42	15	27	-12
NZ_RHQO01000019	-18.486486486486488	22.774596589564105	-63.0	26.0	-17.0	37	28	9	19
MK500334	147.23529411764707	145.39824799161488	-72.0	384.0	141.5	34	9	25	-16
NZ_LMNE01000043	-5.0	0.0	-5.0	-5.0	-5.0	1	1	0	1
MG592517	11.047619047619047	18.42481812400042	-20.0	43.0	12.0	21	8	13	-5
JAFWCC010000017	-0.75	6.378675411086537	-9.0	8.0	-1.0	4	2	2	0
NC_023556	-38.76	22.717887225708292	-70.0	2.0	-33.0	25	24	1	23
JACNHO010000020	32.925925925925924	20.598320546293245	-2.0	68.0	32.0	27	2	25	-23
JAWCMB010000011	3.25	11.583932838203095	-11.0	20.0	2.0	4	2	2	0
MK892785	9.2	11.303096920755834	-14.0	28.0	10.0	15	3	12	-9
JAPKXG010000031	1.0	7.155417527999327	-9.0	12.0	2.0	5	2	3	-1
BK042305	-7.0	5.3452248382484875	-14.0	1.0	-8.0	7	6	1	5
BK031586	-7.571428571428571	9.75202752335772	-18.0	11.0	-12.0	7	5	2	3
BK018514	4.75	6.299801584177076	-2.0	12.0	4.5	4	2	2	0
MW067004	2.0	0.0	2.0	2.0	2.0	1	0	1	-1
NZ_LMRS01000060	-4.769230769230769	22.918430091736706	-48.0	38.0	-4.0	13	9	4	5
JARYME010000014	-1.0	2.0	-3.0	1.0	-1.0	2	1	1	0
NYWC01000112	1.5	0.5	1.0	2.0	1.5	2	0	2	-2
BK028724	7.666666666666667	4.109609335312651	3.0	13.0	7.0	3	0	3	-3
PBLP01000075	-21.0	0.0	-21.0	-21.0	-21.0	1	1	0	1
NC_034188	-110.0	597.588744616486	-1027.0	826.0	49.0	13	6	7	-1
MK113949	17.94736842105263	16.083576730417064	-8.0	40.0	16.0	19	3	16	-13
MK892645	-8.933333333333334	12.52446494754256	-30.0	14.0	-6.0	15	12	3	9
OQ504984	95.0125	61.675865164179086	-15.0	200.0	92.0	80	6	74	-68
MK016663	-52.479166666666664	32.8874276784542	-101.0	9.0	-61.5	48	43	5	38
WQTZ01000078	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1
NHBN01000015	-1.6666666666666667	4.955356249106169	-8.0	5.0	-2.0	6	4	2	2
MEQM01000011	-8.0	4.183300132670378	-12.0	-1.0	-9.5	4	4	0	4
JACCWO010000698	-2.0	0.0	-2.0	-2.0	-2.0	1	1	0	1
LR797061	-29.75	12.524143350611515	-44.0	2.0	-33.5	12	11	1	10
JACASV010000094	0.0	1.0	-1.0	1.0	0.0	2	1	1	0
MN855768	1.0	10.377861051295685	-21.0	19.0	1.5	20	9	11	-2
JAGCCP010000051	-3.0	5.686240703077327	-11.0	7.0	-4.5	6	4	2	2
NZ_CP026328	189.67638483965015	680.2487220455887	-1031.0	1575.0	144.0	343	182	161	21
QZIJ01000144	-3.0	3.559026084010437	-6.0	2.0	-5.0	3	2	1	1
NZ_BNAJ01000015	19.38888888888889	28.3375269227709	-21.0	78.0	14.0	18	5	13	-8
NZ_JACJTJ010000040	-27.36842105263158	39.34892565418406	-85.0	45.0	-29.0	19	13	6	7
MEPP01000031	-104.4054054054054	120.06967784727817	-294.0	88.0	-85.0	37	27	10	17
MH517022	34.5625	52.989742030101134	-57.0	115.0	33.5	48	15	33	-18
NZ_AYXY01000019	-101.65882352941176	245.35887535661507	-516.0	312.0	-120.0	85	50	35	15
LVVK01000019	227.43333333333334	194.92437564917896	-88.0	582.0	204.0	30	4	26	-22
OP272492	-39.54545454545455	33.62659563328256	-92.0	26.0	-42.5	44	37	7	30
PP209424	-10.0	70.0527939442385	-143.0	115.0	-12.5	66	38	28	10
MF497422	14.153846153846153	12.296629643594052	-5.0	38.0	15.0	13	2	11	-9
KQ965567	-4.384615384615385	42.32754778835112	-78.0	52.0	5.0	13	6	7	-1
JAFPAN010000129	-3.0	7.293833011524188	-11.0	8.0	-6.0	5	3	2	1
NZ_FQWY01000029	-21.0	0.0	-21.0	-21.0	-21.0	1	1	0	1
NZ_LMQT01000001	-193.57692307692307	284.33536172800257	-626.0	353.0	-198.5	130	96	34	62
BK023926	1.0	4.898979485566356	-6.0	9.0	0.5	8	4	4	0
DAOSLP010000011	-4.666666666666667	8.259674462242579	-11.0	7.0	-10.0	3	2	1	1
LR796247	4.339285714285714	61.193859631769044	-100.0	105.0	-4.5	56	29	27	2
BK015645	25.0	18.479718612576328	-2.0	54.0	23.5	8	1	7	-6
NZ_SBHT01000016	-3.0	2.6076809620810595	-6.0	1.0	-4.0	5	4	1	3
KX507045	-11.666666666666666	15.304320377665329	-37.0	16.0	-15.0	21	16	5	11
LR796423	33.358024691358025	74.63165658083298	-90.0	170.0	45.0	81	29	52	-23
MVBO01000035	9.666666666666666	9.104333522498441	-3.0	18.0	14.0	3	1	2	-1
JAGCAQ010000165	-5.6	3.4985711369071804	-12.0	-2.0	-5.0	5	5	0	5
BK026954	5.2	6.20966987850401	-3.0	15.0	3.0	5	1	4	-3
LR796964	-21.25	13.663363421939708	-50.0	-2.0	-18.5	8	8	0	8
NZ_QZCH01000008	-2.5714285714285716	31.635681224380363	-75.0	37.0	4.5	14	6	8	-2
NZ_CP048877	-177.7403846153846	604.2067191971047	-1259.0	888.0	-167.0	208	120	88	32
MK072066	5.333333333333333	50.17081931871465	-62.0	83.0	10.0	9	4	5	-1
NC_019423	-45.55555555555556	25.34259090109468	-85.0	-2.0	-52.5	18	18	0	18
MT863727	-54.301886792452834	47.77880832274808	-133.0	20.0	-53.0	53	43	10	33
MZ643272	-66.64179104477611	62.56476083455203	-153.0	37.0	-87.0	67	51	16	35
JABTVB010000002	476.1607142857143	305.27781707731367	-144.0	997.0	515.0	112	7	105	-98
MT773555	-74.46987951807229	75.03193494393749	-233.0	25.0	-58.0	83	68	15	53
NZ_JAKDOV010000278	-2.0	0.0	-2.0	-2.0	-2.0	1	1	0	1
JAFRDD010000167	5.5	6.5	-1.0	12.0	5.5	2	1	1	0
NZ_ATFI01000001	508.54794520547944	380.9775832435998	-135.0	1151.0	613.0	73	12	61	-49
NZ_BPRF01000013	18.2	20.173249614278806	-6.0	50.0	23.0	5	2	3	-1
NZ_FNHZ01000001	-208.16129032258064	231.35628811412923	-573.0	227.0	-212.0	124	95	29	66
NZ_RBAH01000002	140.09375	90.78042168296807	-26.0	301.0	128.5	32	1	31	-30
QMTG01000110	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1
LR796879	-16.071428571428573	14.537951740748301	-40.0	8.0	-20.0	14	12	2	10
VGGS01000006	5.285714285714286	4.095791767666129	-1.0	11.0	5.0	7	1	6	-5
BK041972	9.4375	27.55668872978029	-39.0	52.0	10.0	16	7	9	-2
DOCA01000162	-5.0	0.0	-5.0	-5.0	-5.0	1	1	0	1
NC_028800	-11.333333333333334	13.735598518691008	-35.0	6.0	-6.5	18	14	4	10
NZ_PVRV01000023	144.29545454545453	141.63903858776405	-40.0	448.0	105.0	88	11	77	-66
NC_042006	-9.235294117647058	11.486715661066949	-42.0	5.0	-7.0	17	14	3	11
DPQA01000173	1.0	0.0	1.0	1.0	1.0	1	0	1	-1
NC_047772	-16.736842105263158	15.790877130609832	-40.0	5.0	-10.0	19	16	3	13
KT997818	8.75	16.57369904396722	-18.0	24.0	14.5	4	1	3	-2
MN582103	3.142857142857143	28.093865987479347	-38.0	42.0	2.5	14	7	7	0
PFVN01000008	6.5	1.5	5.0	8.0	6.5	2	0	2	-2
NC_050098	-31.238095238095237	569.7392807877673	-898.0	872.0	-33.5	42	23	19	4
DASSUK010000381	-1.0	0.0	-1.0	-1.0	-1.0	1	1	0	1
LR796211	-17.473684210526315	14.640852797467746	-41.0	8.0	-18.0	19	16	3	13
LR796734	12.971830985915492	69.35070535522482	-106.0	120.0	19.0	71	27	44	-17
LR796187	167.01052631578946	131.49724789890527	-62.0	382.0	196.0	95	18	77	-59
DASXUX010000095	-120.54838709677419	121.33845990549433	-314.0	50.0	-111.0	31	23	8	15
CM000131	-308.655737704918	954.6464264408363	-1957.0	1118.0	-380.0	61	32	29	3
PFLU01000039	8.5	1.5	7.0	10.0	8.5	2	0	2	-2
PBQC01000014	6.666666666666667	7.6739096221475585	-3.0	21.0	7.0	9	3	6	-3
NZ_RBCJ01000001	-560.6944444444445	404.9129583725677	-1251.0	154.0	-547.0	144	129	15	114
JAUSLB010000202	-7.0	0.0	-7.0	-7.0	-7.0	1	1	0	1
MFGX01000070	2.6666666666666665	1.247219128924647	1.0	4.0	3.0	3	0	3	-3
NW_024704751	324.38461538461536	240.2708530809276	-155.0	612.0	463.0	13	2	11	-9
LR796199	-16.5	13.030946072927918	-34.0	4.0	-15.0	18	15	3	12
JASGUH010000008	-17.166666666666668	7.966945601811414	-27.0	-3.0	-17.5	6	6	0	6
WLQF01000192	1.0	0.0	1.0	1.0	1.0	1	0	1	-1
AZRA01000001	25.0	1.0	24.0	26.0	25.0	2	0	2	-2
JBIWMT010000003	64.06382978723404	93.53083556963449	-70.0	274.0	37.0	47	22	25	-3
NC_027626	-16.181818181818183	11.769128969223463	-34.0	9.0	-18.5	22	19	3	16
LR796496	-0.5	29.862183443278223	-38.0	57.0	-5.5	24	13	11	2
BK016086	45.114285714285714	130.48235160983518	-134.0	245.0	-10.0	35	18	17	1
BK040981	25.454545454545453	25.959281529361732	-7.0	64.0	33.0	11	3	8	-5
NZ_PIZV01000051	-31.848484848484848	45.42667832634169	-122.0	51.0	-24.0	33	25	8	17
LR796380	20.42622950819672	59.643602439933986	-90.0	121.0	30.0	61	26	35	-9
JAKTLW010000029	-4.8	3.709447398198282	-11.0	-1.0	-3.0	5	5	0	5
NC_049469	-30.9	24.827202822710415	-78.0	12.0	-27.5	20	18	2	16
NC_073480	7.5	5.220153254455275	-1.0	13.0	9.0	4	1	3	-2
NZ_LEEA01000022	79.125	80.28077124780788	-34.0	250.0	56.0	56	6	50	-44
NZGJ01000009	3.0	3.559026084010437	-2.0	6.0	5.0	3	1	2	-1
NZ_JABTBM010000001	-0.8571428571428571	6.243363823832046	-8.0	10.0	-3.0	7	5	2	3
LR881137	-51.80701754385965	63.1021001114335	-152.0	50.0	-58.0	57	40	17	23
LC629471	22.0	51.61760176135853	-86.0	102.0	14.0	69	28	41	-13
NC_053427	384.6363636363636	317.8388021186705	-212.0	721.0	473.0	11	2	9	-7
JAGCBE010000335	-6.5	4.387482193696061	-13.0	-2.0	-5.5	4	4	0	4
PALX01000025	33.54545454545455	19.312566028665643	5.0	64.0	31.0	11	0	11	-11
BK045800	-2.0	4.604345773288535	-10.0	3.0	-2.0	5	3	2	1
BK032531	-5.4	6.086049621881176	-12.0	5.0	-5.0	5	4	1	3
JASEJN010000045	-7.0	8.602325267042627	-19.0	3.0	-6.0	4	3	1	2
NZ_FNIE01000005	-156.98181818181817	160.09968382333108	-402.0	103.0	-180.0	55	41	14	27
DQKQ01000249	-3.8333333333333335	4.058598553961974	-9.0	2.0	-5.0	6	4	2	2
NZGQ01000097	-7.368421052631579	18.97702357649151	-37.0	24.0	-8.0	19	12	7	5
DATEZH010000299	-1.4	3.2619012860600183	-5.0	3.0	-3.0	5	3	2	1
VXRF01000300	5.0	0.0	5.0	5.0	5.0	1	0	1	-1
CP001848	55.9882005899705	1304.393675704427	-2256.0	2396.0	25.0	339	166	173	-7
NHDS01000015	5.6	6.681317235396026	-6.0	16.0	6.5	10	3	7	-4
NC_055917	9.142857142857142	5.329930887479323	2.0	17.0	9.0	7	0	7	-7
PBLU01000011	7.0	4.774934554525329	1.0	13.0	6.0	5	0	5	-5
MG592414	-3.9166666666666665	22.356797375493855	-37.0	27.0	4.5	24	11	13	-2
JAFGFK010000364	3.5	0.5	3.0	4.0	3.5	2	0	2	-2
NZ_FTPU01000029	13.0	0.0	13.0	13.0	13.0	1	0	1	-1
NZ_RBAH01000028	17.285714285714285	26.080722413933497	-22.0	51.0	33.0	7	3	4	-1
MG592434	-1.9583333333333333	19.357339621503318	-43.0	27.0	-5.0	24	14	10	4
LR796715	-6.153846153846154	15.006901765245082	-30.0	19.0	-8.0	13	9	4	5
NC_048765	104.34693877551021	61.52004850599457	1.0	188.0	125.0	49	0	49	-49
BTUW01000009	39.81818181818182	28.774414714269348	-1.0	90.0	38.0	11	1	10	-9
LC629474	-106.04819277108433	66.46983256570033	-260.0	22.0	-112.0	83	77	6	71
DNXO01000085	3.2	7.138627319029898	-6.0	10.0	8.0	5	2	3	-1
NZ_QTPW01000007	-19.86111111111111	63.971414092449564	-140.0	77.0	6.0	36	17	19	-2
SHMU01000065	2.5	1.5	1.0	4.0	2.5	2	0	2	-2
NZ_JACBXL010000020	9.307692307692308	21.606212124453094	-15.0	49.0	3.0	13	6	7	-1
JABWBE010000690	3.0	0.0	3.0	3.0	3.0	1	0	1	-1
NC_073467	8.0	4.898979485566356	-1.0	13.0	10.0	5	1	4	-3
CP007031	503.60655737704917	926.2598417200383	-1085.0	2160.0	685.0	305	98	207	-109
NZ_CP047593	-1327.667731629393	886.1477772967405	-2968.0	111.0	-1183.0	313	303	10	293
NZ_NGFN01000071	-8.117647058823529	8.144881849727518	-22.0	6.0	-9.0	17	13	4	9
NZ_LBFB01000009	5.55	28.980122498015774	-46.0	37.0	19.5	20	7	13	-6
NC_025450	-15.434782608695652	10.941846624836078	-40.0	-1.0	-13.0	23	23	0	23
MK072136	11.0	2.0	9.0	13.0	11.0	2	0	2	-2
NZ_WTYV01000005	150.61904761904762	74.86716884270129	-13.0	262.0	162.0	21	1	20	-19
JABJEH010000061	0.5	2.692582403567252	-4.0	3.0	1.5	4	1	3	-2
MK072243	-44.2	27.43282705081633	-69.0	5.0	-58.0	5	4	1	3
NZAS01000120	-1.5	3.0413812651491097	-5.0	2.0	-1.5	4	2	2	0
NZ_JACIGF010000003	68.07843137254902	100.13047236270597	-97.0	265.0	52.0	51	15	36	-21
NC_077067	473.7358490566038	381.4081481920621	-198.0	1217.0	474.5	106	15	91	-76
NZ_JZAM01000360	41.58490566037736	81.85316673309825	-72.0	192.0	11.0	53	24	29	-5
NZ_NXLX01000013	-10.4	10.772186407596186	-29.0	3.0	-6.5	10	8	2	6
CP002278	418.0534351145038	380.7438543704569	-221.0	1058.0	379.0	131	25	106	-81
DVIU01000089	1.0	0.0	1.0	1.0	1.0	1	0	1	-1
MW001214	-3.3863636363636362	40.10906489531836	-97.0	86.0	-6.0	44	24	20	4
DATHGT010000205	3.0	0.0	3.0	3.0	3.0	1	0	1	-1
DAOOQM010000086	2.0	0.0	2.0	2.0	2.0	1	0	1	-1
BK014853	1.0	0.0	1.0	1.0	1.0	1	0	1	-1
JAGCKX010000186	-8.833333333333334	4.2196629670573875	-16.0	-2.0	-8.5	6	6	0	6
JANZZV010000010	-35.857142857142854	12.483458442830559	-55.0	-22.0	-35.0	7	7	0	7
MK072035	1.0	0.0	1.0	1.0	1.0	1	0	1	-1
NC_070774	24.1	22.286543024883873	-10.0	57.0	22.5	30	6	24	-18
MK892758	-21.125	16.4502089652381	-47.0	4.0	-22.5	16	14	2	12
MT310894	-25.235294117647058	18.928750034132506	-56.0	13.0	-29.0	17	14	3	11
NZ_CP034692	-655.7540453074433	904.9234180751004	-2168.0	963.0	-641.0	309	220	89	131
NC_084894	-26.28735632183908	601.9280689459206	-1222.0	839.0	174.0	87	35	52	-17
PPXQ01000012	-45.0625	45.06171982681087	-132.0	18.0	-44.5	16	12	4	8
NZHO01000040	-4.333333333333333	2.8674417556808756	-8.0	-1.0	-4.0	3	3	0	3
BK059092	28.428571428571427	7.267484195415373	14.0	36.0	29.0	7	0	7	-7
DNUT01000279	2.0	0.0	2.0	2.0	2.0	1	0	1	-1
JAEPCM010000016	32.47457627118644	60.24676823239212	-79.0	132.0	33.0	59	16	43	-27
NZ_NXNI01000003	41.2	24.555243839147675	-5.0	66.0	48.0	5	1	4	-3
BK017272	-5.666666666666667	4.109609335312651	-11.0	-1.0	-5.0	3	3	0	3
ATBP01001652	-2.0	0.0	-2.0	-2.0	-2.0	1	1	0	1
PCCC01000030	-0.3333333333333333	4.784233364802441	-7.0	4.0	2.0	3	1	2	-1
JADBYP010000112	3.0	2.0	1.0	5.0	3.0	2	0	2	-2
RHCO01000108	0.0	1.0	-1.0	1.0	0.0	2	1	1	0
MG592622	-13.88	18.58024757639144	-50.0	25.0	-15.0	25	17	8	9
MG757155	25.083333333333332	21.654323407167958	-8.0	78.0	21.0	36	3	33	-30
JACFNB010000025	-2.0	3.0	-5.0	1.0	-2.0	2	1	1	0
NC_055060	10.636363636363637	10.628201996854898	-6.0	26.0	12.0	11	2	9	-7
MG592660	11.666666666666666	21.774457148847226	-18.0	48.0	6.0	21	8	13	-5
NZ_JAZHBO010000002	-246.05982905982907	284.55523221541256	-763.0	181.0	-194.0	117	81	36	45
LHYE01000002	-14.2	12.781236246936365	-30.0	2.0	-11.0	5	4	1	3
NZ_NUEL01000085	10.0	8.135220844071672	-3.0	22.0	11.0	11	2	9	-7
NC_081406	89.23529411764706	133.34542909379238	-133.0	228.0	165.0	17	7	10	-3
NZ_JAJOHX010000017	5.75	8.849435010213929	-13.0	18.0	5.5	16	4	12	-8
CP048620	1366.695238095238	924.0935580045876	-339.0	3010.0	1359.0	315	43	272	-229
KU686213	110.21518987341773	77.26195305272131	-36.0	223.0	125.0	79	12	67	-55
MG592629	20.214285714285715	13.954920132998518	2.0	47.0	19.0	14	0	14	-14
JAXJXA010000214	9.666666666666666	3.681787005729087	5.0	14.0	10.0	3	0	3	-3
BK058170	-8.5	6.800735254367722	-14.0	3.0	-11.5	4	3	1	2
QFQY01000018	-26.88888888888889	14.992179031040331	-50.0	-1.0	-22.0	9	9	0	9
JAAWLJ010000181	-2.5	0.5	-3.0	-2.0	-2.5	2	2	0	2
PBBF01000039	-5.75	1.479019945774904	-8.0	-4.0	-5.5	4	4	0	4
NC_025822	-11.294117647058824	10.920917360101171	-37.0	2.0	-8.0	17	16	1	15
LODT01000037	80.35135135135135	233.42864135808605	-320.0	448.0	75.0	37	15	22	-7
NZ_JBHXMC010000013	-28.488372093023255	61.77241504215791	-138.0	58.0	-6.0	43	22	21	1
LR796648	16.944444444444443	17.8806917036917	-5.0	57.0	9.5	18	2	16	-14
NZ_JBHSQT010000003	83.6923076923077	40.56407014812799	-14.0	128.0	88.0	13	1	12	-11
NC_041857	-25.91304347826087	26.622829437514323	-69.0	10.0	-19.0	23	18	5	13
BK016733	1.75	9.161741100904347	-12.0	14.0	0.5	8	4	4	0
DNNM01000223	-4.0	3.0	-7.0	-1.0	-4.0	2	2	0	2
NZ_JBAZQQ010000013	12.0	11.775681155103795	-8.0	32.0	11.0	9	1	8	-7
JBHLSK010000001	-636.4289544235925	1019.016209801024	-2188.0	1171.0	-643.0	373	261	112	149
MF990902	9.0	4.847679857416329	1.0	14.0	10.5	4	0	4	-4
MHMA01000019	-5.0	0.0	-5.0	-5.0	-5.0	1	1	0	1
LR798196	-12.227272727272727	17.026534954651915	-43.0	11.0	-6.5	22	16	6	10
BK051648	-3.3333333333333335	5.792715732327589	-13.0	5.0	-3.0	9	6	3	3
JAONXH010000001	21.941176470588236	21.805208736163973	-23.0	50.0	29.0	17	4	13	-9
BK013345	-10.428571428571429	12.453996981544782	-24.0	14.0	-13.0	7	6	1	5
NC_041997	93.81632653061224	66.5366780758009	-41.0	206.0	90.0	49	4	45	-41
NZ_SEWF01000068	-8.166666666666666	5.550275268448904	-15.0	3.0	-9.5	6	5	1	4
MN516421	18.833333333333332	25.34210374499762	-19.0	59.0	15.5	24	8	16	-8
MG592403	1.1363636363636365	12.432711452035987	-19.0	22.0	0.0	22	11	11	0
NC_023706	29.142857142857142	27.62725657973388	-6.0	98.0	23.0	28	3	25	-22
JAOMIO010000002	-1.5	2.5	-4.0	1.0	-1.5	2	1	1	0
LR796379	32.23529411764706	16.868102204229093	3.0	54.0	38.0	17	0	17	-17
BK055734	-17.53846153846154	17.099776807429542	-50.0	4.0	-14.0	13	12	1	11
NC_047866	-6.7	9.757561170702441	-28.0	6.0	-4.5	20	14	6	8
NZ_BASE01000106	-31.25	23.965687277160793	-70.0	-3.0	-25.0	12	12	0	12
QNEU01000073	3.5	0.5	3.0	4.0	3.5	2	0	2	-2
JAGWLI010000132	8.75	5.11737237261468	1.0	15.0	9.5	4	0	4	-4
NC_028659	51.046875	63.87571665143472	-52.0	192.0	45.5	64	15	49	-34
LR796245	-21.666666666666668	20.749832663314553	-50.0	31.0	-26.0	18	15	3	12
NZ_JH597761	448.7596899224806	351.20017426833004	-195.0	1033.0	419.0	129	18	111	-93
SOJA01000111	2.0	0.0	2.0	2.0	2.0	1	0	1	-1
NC_030904	-30.96969696969697	21.364775383347702	-62.0	3.0	-33.0	33	31	2	29
MK892725	-11.4375	23.69590879772287	-63.0	29.0	-7.5	16	11	5	6
LSSB01000084	-19.166666666666668	9.633564011078949	-31.0	-2.0	-22.0	6	6	0	6
JAXJTP010000076	0.7142857142857143	5.174505793221381	-8.0	9.0	2.0	7	3	4	-1
NZ_FZNE01000003	61.758620689655174	91.49134316403696	-97.0	195.0	75.0	29	7	22	-15
JABWBO010000061	11.0	0.0	11.0	11.0	11.0	1	0	1	-1
NZ_SBLB01000001	527.4117647058823	506.0865120930949	-286.0	1402.0	563.0	187	36	151	-115
NC_038249	1160.3565217391304	1019.5425589027604	-628.0	3228.0	924.0	115	14	101	-87
LR796623	-17.916666666666668	21.819174798531883	-51.0	9.0	-17.0	12	8	4	4
BK038524	6.0	4.725815626252608	-1.0	12.0	6.0	6	1	5	-4
OP073909	6.571428571428571	6.388765649999399	-2.0	15.0	8.0	7	2	5	-3
LR798211	-15.75	15.327671055969331	-44.0	7.0	-12.5	16	13	3	10
BDSW01000143	3.5	1.5	2.0	5.0	3.5	2	0	2	-2
NZ_VDCQ01000074	21.5	6.849574196011505	12.0	31.0	23.5	6	0	6	-6
MK892772	0.18181818181818182	16.408524291400724	-26.0	27.0	3.0	11	5	6	-1
JAPLSS010000431	-5.0	2.0	-7.0	-3.0	-5.0	2	2	0	2
NZ_PELY01000071	3.0	0.0	3.0	3.0	3.0	1	0	1	-1
NC_030948	98.25757575757575	64.80654442402908	-5.0	231.0	84.0	66	2	64	-62
NZAU01000155	-5.875	4.594493987372276	-11.0	2.0	-7.5	8	6	2	4
MT701589	-18.333333333333332	12.567279257520616	-45.0	-1.0	-16.0	21	21	0	21
NZ_CP020100	-902.0276497695853	1057.1899755468648	-2928.0	735.0	-729.0	434	339	95	244
NC_002685	4.0	0.0	4.0	4.0	4.0	1	0	1	-1
NZ_VUOB01000042	-20.642857142857142	36.745470358082706	-71.0	54.0	-20.0	14	11	3	8
NC_001423	8.875	8.432637487761465	-4.0	19.0	11.5	8	2	6	-4
NZ_FOQF01000014	-26.833333333333332	19.312488763031613	-56.0	2.0	-19.5	12	11	1	10
MK071979	94.78947368421052	84.15122912281726	-5.0	283.0	65.0	19	1	18	-17
NZ_JH414596	85.5	74.6362685337709	-52.0	224.0	88.5	62	10	52	-42
MG592671	-113.48863636363636	156.41204283428766	-378.0	108.0	-98.0	88	60	28	32
NZ_FPAW01000015	-44.6	21.896118377465903	-76.0	-9.0	-44.5	10	10	0	10
NZ_AEXN01000014	-11.38888888888889	22.428005531004434	-53.0	20.0	-9.5	18	11	7	4
NZ_LQQP01000006	-35.111111111111114	41.690511695493726	-84.0	27.0	-58.0	9	6	3	3
NZ_FOPU01000013	-21.8	24.16112580158466	-55.0	8.0	-21.0	5	3	2	1
NZ_CP011272	1786.2018867924528	1519.6244008369572	-762.0	4275.0	1744.0	530	81	449	-368
BK036664	3.4	4.758150901348127	-3.0	9.0	4.0	5	2	3	-1
